k, tipo, b, n, tiempo
9, binomial, 262144, 18, 289.20255700
9, binario, 524288, 19, 8.33665800
9, binomial, 524288, 19, 14.18879300
10, binario, 2, 1, 0.00015800
10, binomial, 2, 1, 0.00006000
10, binario, 4, 2, 0.00046600
10, binomial, 4, 2, 0.00016500
10, binario, 8, 3, 0.00037500
10, binomial, 8, 3, 0.00020500
10, binario, 16, 4, 0.00230400
10, binomial, 16, 4, 0.00028300
10, binario, 32, 5, 0.00291500
10, binomial, 32, 5, 0.00044300
10, binario, 64, 6, 0.00324800
10, binomial, 64, 6, 0.00067100
10, binario, 128, 7, 0.00830300
10, binomial, 128, 7, 0.00113800
10, binario, 256, 8, 0.01903600
10, binomial, 256, 8, 0.00494500
10, binario, 512, 9, 0.02634300
10, binomial, 512, 9, 0.00589600
10, binario, 1024, 10, 0.03654000
10, binomial, 1024, 10, 0.01095000
10, binario, 2048, 11, 0.04865200
10, binomial, 2048, 11, 0.02351300
10, binario, 4096, 12, 0.04633800
10, binomial, 4096, 12, 0.05330500
10, binario, 8192, 13, 0.06788700
10, binomial, 8192, 13, 0.09018800
10, binario, 16384, 14, 0.14160900
10, binomial, 16384, 14, 0.18989600
10, binario, 32768, 15, 0.27193100
10, binomial, 32768, 15, 0.37810200
10, binario, 65536, 16, 0.53587400
10, binomial, 65536, 16, 0.78382400
10, binario, 131072, 17, 1.15494200
10, binomial, 131072, 17, 1.80527900
10, binario, 262144, 18, 3.70581500
10, binomial, 262144, 18, 4.48084200
10, binario, 524288, 19, 7.93959000
10, binomial, 524288, 19, 14.98364300
