k, metodo, b, n, tiempo
9, ordenamiento, 16, 4, 0.00008500
9, ingenuo, 32, 5, 0.00007700
9, ordenamiento, 32, 5, 0.00017900
9, ingenuo, 64, 6, 0.00030400
9, ordenamiento, 64, 6, 0.00042500
9, ingenuo, 128, 7, 0.00111000
9, ordenamiento, 128, 7, 0.00088200
9, ingenuo, 256, 8, 0.00463000
9, ordenamiento, 256, 8, 0.00212800
9, ingenuo, 512, 9, 0.01851900
9, ordenamiento, 512, 9, 0.00421100
9, ingenuo, 1024, 10, 0.07637600
9, ordenamiento, 1024, 10, 0.00919400
9, ingenuo, 2048, 11, 0.30840700
9, ordenamiento, 2048, 11, 0.02018000
9, ingenuo, 4096, 12, 1.35502100
9, ordenamiento, 4096, 12, 0.04589700
9, ingenuo, 8192, 13, 5.68038600
9, ordenamiento, 8192, 13, 0.10432600
9, ingenuo, 16384, 14, 28.07254500
9, ordenamiento, 16384, 14, 0.24471600
9, ingenuo, 32768, 15, 127.72270200
9, ordenamiento, 32768, 15, 0.59129900
10, ingenuo, 2, 1, 0.00000800
10, ordenamiento, 2, 1, 0.00001000
10, ingenuo, 4, 2, 0.00000600
10, ordenamiento, 4, 2, 0.00001500
10, ingenuo, 8, 3, 0.00001000
10, ordenamiento, 8, 3, 0.00003200
10, ingenuo, 16, 4, 0.00002400
10, ordenamiento, 16, 4, 0.00007200
10, ingenuo, 32, 5, 0.00007300
10, ordenamiento, 32, 5, 0.00016300
10, ingenuo, 64, 6, 0.00025400
10, ordenamiento, 64, 6, 0.00036000
10, ingenuo, 128, 7, 0.00103700
10, ordenamiento, 128, 7, 0.00084000
10, ingenuo, 256, 8, 0.00425400
10, ordenamiento, 256, 8, 0.00187200
10, ingenuo, 512, 9, 0.01889500
10, ordenamiento, 512, 9, 0.00415700
10, ingenuo, 1024, 10, 0.07198000
10, ordenamiento, 1024, 10, 0.00914300
10, ingenuo, 2048, 11, 0.30393100
10, ordenamiento, 2048, 11, 0.02006900
10, ingenuo, 4096, 12, 1.31077000
10, ordenamiento, 4096, 12, 0.04477500
10, ingenuo, 8192, 13, 5.77796600
10, ordenamiento, 8192, 13, 0.10328200
10, ingenuo, 16384, 14, 27.80880000
10, ordenamiento, 16384, 14, 0.24494900
10, ingenuo, 32768, 15, 133.19982900
10, ordenamiento, 32768, 15, 0.58535100
